"General Configuration","General Configuration"
"You can find the necessary information in your WebwinkelKeur dashboard bottom of the page -Place WebwinkelKeur mark- <br/> As addition next to the activation of this extension we also recommend you to place the appropriate WebwinkelKeur logo and banner.<br/><br/>","You can find the necessary information in your WebwinkelKeur dashboard bottom of the page -Place WebwinkelKeur mark- <br/> As addition next to the activation of this extension we also recommend you to place the appropriate WebwinkelKeur logo and banner.<br/><br/>"
"Enabled","Enabled"
"API CREDENTIALS","API CREDENTIALS"
"Webshop ID","Webshop ID"
"API Key","API Key"
"URL","URL"
"You can find this information in your WebwinkelKeur account","You can find this information in your WebwinkelKeur account"
"WebwinkelKeur Import Reviews","WebwinkelKeur Import Reviews"
"To display the latest reviews in your store, you must import the reviews. This can be done automatically or manually.","To display the latest reviews in your store, you must import the reviews. This can be done automatically or manually."
"Import Automatically","Import Automatically"
"Last Update","Last Update"
"Update Summary","Update Summary"
"Update Reviews","Update Reviews"
"Process Manually","Process Manually"
"Update Review History","Update Review History"
"Use the Magento Cronjob to use the automatically import. A cronjob is a daemon which keeps running and gets activated at a said interval (time period).","Use the Magento Cronjob to use the automatically import. A cronjob is a daemon which keeps running and gets activated at a said interval (time period)."
"Select the schedule for automatic updating","Select the schedule for automatic updating"
"Latest Reviews Visibility","Latest Reviews Visibility"
"Show the latest reviews directly in the right or left area of your store to gain trust and directly show your client reviews.<br/><br/>","Show the latest reviews directly in the right or left area of your store to gain trust and directly show your client reviews.<br/><br/>"
"Left Sidebar","Left Sidebar"
"Number of Reviews","Number of Reviews"
"Character length of Reviews","Character length of Reviews"
"Link to","Link to"
"Add Rich Snippets","Add Rich Snippets"
"You can only activate the Rich Snippets when this block is shown on your Homepage only","You can only activate the Rich Snippets when this block is shown on your Homepage only"
"Right Sidebar","Right Sidebar"
"WebwinkelKeur Overview Page","WebwinkelKeur Overview Page"
"We can import your customer reviews and display them in your store as new content. <br/><br/> Link: http://www.mywebshop.com/<strong>WebwinkelKeur</strong><br/><br/>","We can import your customer reviews and display them in your store as new content. <br/><br/> Link: http://www.mywebshop.com/<strong>WebwinkelKeur</strong><br/><br/>"
"Pagination","Pagination"
"Pagination is the process of dividing (content) into discrete pages","Pagination is the process of dividing (content) into discrete pages"
"Reviews per page","Reviews per page"
"Meta Data","Meta Data"
"Meta Title","Meta Title"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Invitation to write the customer experience","Invitation to write the customer experience"
"WebwinkelKeur can invite your customers to write customer reviews. This feature is only available to PLUS members. <br><a href="#">https://www.WebwinkelKeur.nl/webwinkel/mogelijkheden/plus/</a> <br/><br/>","WebwinkelKeur can invite your customers to write customer reviews. This feature is only available to PLUS members. <br><a href="#">https://www.WebwinkelKeur.nl/webwinkel/mogelijkheden/plus/</a> <br/><br/>"
"Activate","Activate"
"Send invitation?","Send invitation?"
"Order is Completed with status","Order is Completed with status"
"Invitation e-mail is sent after such status is achieved","Invitation e-mail is sent after such status is achieved"
"Delay","Delay"
"Send the invitation x days after the order is completed","Send the invitation x days after the order is completed"
"Maximum Delay","Maximum Delay"
"Change only if necessary","Change only if necessary"
"Send customers automatically receive an invitation to share a customer experience. This feature is only available for WebwinkelKeur PLUS members.","Send customers automatically receive an invitation to share a customer experience. This feature is only available for WebwinkelKeur PLUS members."
"Specify at which status you want to send the invitation. Default is Completed","Specify at which status you want to send the invitation. Default is Completed"
"This will ensure that the customer receives the invitation shortly after receiving the product and not before. This increases the opportunity that the client will share his experience.","This will ensure that the customer receives the invitation shortly after receiving the product and not before. This increases the opportunity that the client will share his experience."
"Number of days to complete order may last, if it takes longer then no invitation will be sent. Read more about this feature on WebwinkelKeur.nl.","Number of days to complete order may last, if it takes longer then no invitation will be sent. Read more about this feature on WebwinkelKeur.nl."
"WebwinkelKeur Javascript Sidebar","WebwinkelKeur Javascript Sidebar"
"The WebwinkelKeur javascript integration ensures that your WebwinkelKeur to load page on your own web store. <br/> Now customers don't have to leave your store anymore to read the reviews. <br/> This effectively increases your conversion!<br><br>","The WebwinkelKeur javascript integration ensures that your WebwinkelKeur to load page on your own web store. <br/> Now customers don't have to leave your store anymore to read the reviews. <br/> This effectively increases your conversion!<br><br>"
"Javascript Integration","Javascript Integration"
"Show Sidebar","Show Sidebar"
"Tooltip","Tooltip"
"Sidebar Position","Sidebar Position"
"Place of the sidebar","Place of the sidebar"
"Insert the interactive WebwinkelKeur Sidebar","Insert the interactive WebwinkelKeur Sidebar"
"Whether to display the mouseover tooltip","Whether to display the mouseover tooltip"
"The position of the sidebar","The position of the sidebar"
"Placement from top screen","Placement from top screen"
"Showing the sidebar ensures a higher confidence. Visitors can read the reviews without leaving the store.","Showing the sidebar ensures a higher confidence. Visitors can read the reviews without leaving the store."
"Showing the sidebar ensures a higher confidence. Visitors also do not have to leave to check the reviews which increases your conversion.","Showing the sidebar ensures a higher confidence. Visitors also do not have to leave to check the reviews which increases your conversion."
"WebwinkelKeur Log Settings","WebwinkelKeur Log Settings"
